RowName,DialogueID,Speaker,SpeakerEN,DialogueText,DialogueTextEN,TriggerEvent,DialogueType,AudioPath,Duration
1,CH1_Opening,主角,Protagonist,"这是博物馆的第一展厅...卡地亚的珠宝,埃及的石棺,还有那个音乐盒。这些都是我试图凝固时间的尝试。但...我成功了吗?","This is the museum's first hall... Cartier jewels, Egyptian sarcophagus, and that music box. These are all my attempts to freeze time. But... did I succeed?",OnChapterStart,Monologue,/Game/Audio/VO/CH1_Opening,8.0
2,CH1_Jewels_Observe,主角,Protagonist,"这是卡地亚的珠宝...我们在上海博物馆见过它们。那天,你说:'它们真美,像永恒一样。'我想:如果我能把我们的爱变成珠宝,是不是就能永远保存?","These are Cartier jewels... We saw them at the Shanghai Museum. That day, you said: 'They're so beautiful, like eternity.' I thought: If I could turn our love into jewels, could I preserve it forever?",OnClickJewelCase,Monologue,/Game/Audio/VO/CH1_Jewels_Observe,10.0
3,CH1_Ring_Whisper,戒指,Ring,"我是承诺的象征...他们在我面前发誓,永不改变。但承诺之后,他们真的没有改变——他们变成了雕像,冰冷,坚硬,不再有温度。","I am the symbol of promise... They swore before me, never to change. But after the promise, they truly didn't change—they became statues, cold, hard, no longer warm.",OnRingGlow,Whisper,/Game/Audio/VO/CH1_Ring_Whisper,9.0
4,CH1_Necklace_Whisper,项链,Necklace,"我是拥抱的记忆...她戴着我,拥抱了他。那一刻被凝固了,永远定格。但从那以后,他们再也没有拥抱过——因为完美的瞬间,已经被囚禁在我身上。","I am the memory of embrace... She wore me and embraced him. That moment was frozen, forever fixed. But since then, they never embraced again—because the perfect moment was imprisoned on me.",OnNecklaceGlow,Whisper,/Game/Audio/VO/CH1_Necklace_Whisper,10.0
5,CH1_Crown_Whisper,王冠,Crown,"我是荣耀的顶点...她戴上我的那一刻,是她最美的时刻。所以她再也不敢摘下我——因为她害怕,摘下我,美丽就会消失。但她不知道,真正的美丽,在于变化。","I am the pinnacle of glory... The moment she wore me was her most beautiful moment. So she never dared take me off—because she feared that removing me would make beauty disappear. But she didn't know, true beauty lies in change.",OnCrownGlow,Whisper,/Game/Audio/VO/CH1_Crown_Whisper,11.0
6,CH1_Jewels_Realization,主角,Protagonist,"我明白了...珠宝凝固了美丽,但也囚禁了生命。这不是永恒,这是诅咒。","I understand now... Jewels froze beauty, but also imprisoned life. This is not eternity, this is a curse.",OnCaseOpen,Monologue,/Game/Audio/VO/CH1_Jewels_Realization,5.0
7,CH1_Sarcophagus_Observe,主角,Protagonist,"埃及人追求永生...我们在上海博物馆见过这些。木乃伊,石棺,陪葬品...他们想用这些,让生命永恒。但...木乃伊只是空壳,灵魂早已离去。","Egyptians pursued eternal life... We saw these at the Shanghai Museum. Mummies, sarcophagi, burial goods... They wanted to use these to make life eternal. But... mummies are just empty shells, souls long gone.",OnObserveSarcophagus,Observation,/Game/Audio/VO/CH1_Sarcophagus_Observe,10.0
8,CH1_Hieroglyphs_Translation,象形文字,Hieroglyphs,"心脏的重量决定灵魂的命运。如果心脏重于羽毛,灵魂将被吞噬。如果心脏轻如羽毛,灵魂将获得永生。真正的永生,不在于肉体,而在于心的轻盈。","The weight of the heart determines the soul's fate. If the heart is heavier than the feather, the soul will be devoured. If the heart is as light as the feather, the soul will gain eternal life. True eternity lies not in the body, but in the lightness of heart.",OnUseMagnifier,Document,/Game/Audio/VO/CH1_Hieroglyphs,12.0
9,CH1_Scale_Observe,主角,Protagonist,"这是审判的天平...羽毛代表真理,代表轻盈。什么能与它平衡?","This is the scale of judgment... The feather represents truth, represents lightness. What can balance it?",OnObserveScale,Observation,/Game/Audio/VO/CH1_Scale_Observe,4.5
10,CH1_Scale_Imbalance,主角,Protagonist,"珠宝太重了...凝固的爱,失去了轻盈。真正的爱,应该像羽毛一样轻。","The jewel is too heavy... Frozen love lost its lightness. True love should be as light as a feather.",OnScaleImbalance,Monologue,/Game/Audio/VO/CH1_Scale_Imbalance,5.5
11,CH1_Diary_Read,炼金术士,Alchemist,"我试图将爱情变成珠宝,永久保存。但珠宝太重了,它压垮了爱情。埃及人追求永生,但木乃伊只是空壳。真正的永生,不在于凝固,而在于...我想起了那个夜晚,小刚的演唱会。音乐让时间停止,但不是凝固——而是在流动中,找到了永恒的瞬间。也许,答案在音乐盒里。","I tried to turn love into jewels, to preserve it forever. But jewels were too heavy, they crushed love. Egyptians pursued eternal life, but mummies are just shells. True eternity is not in freezing, but in... I remember that night, Jay's concert. Music stopped time, but not by freezing—but by finding eternal moments in flow. Perhaps, the answer is in the music box.",OnReadDiary,Document,/Game/Audio/VO/CH1_Diary_Read,20.0
12,CH1_MusicBox_Observe,主角,Protagonist,"这个音乐盒...是那个夜晚的记忆。小刚的演唱会,2024年7月。那是我们最美的时刻之一。","This music box... is the memory of that night. Jay's concert, July 2024. That was one of our most beautiful moments.",OnObserveMusicBox,Observation,/Game/Audio/VO/CH1_MusicBox_Observe,6.0
13,CH1_Password_Wrong,系统,System,"密码错误。","Wrong password.",OnWrongPassword,Feedback,/Game/Audio/SFX/Password_Wrong,1.5
14,CH1_MusicBox_Unlock,主角,Protagonist,"让我打开这个被封存的记忆...","Let me open this sealed memory...",OnUnlockMusicBox,Monologue,/Game/Audio/VO/CH1_MusicBox_Unlock,3.0
15,CH1_Notes_Appear,主角,Protagonist,"音符...它们是活的。不像珠宝那样沉重,也不像木乃伊那样僵硬。它们轻盈,流动,但又永恒。","Notes... they're alive. Not heavy like jewels, not rigid like mummies. They're light, flowing, yet eternal.",OnNotesAppear,Monologue,/Game/Audio/VO/CH1_Notes_Appear,7.0
16,CH1_Concert_Memory_1,主角,Protagonist,"2024年7月27日,小刚的演唱会。","July 27, 2024, Jay's concert.",OnConcertMemoryStart,Monologue,/Game/Audio/VO/CH1_Concert_1,3.0
17,CH1_Concert_Memory_2,主角,Protagonist,"成千上万的人,但在音乐中,我只看到你。","Thousands of people, but in the music, I only saw you.",OnConcertMemoryMid1,Monologue,/Game/Audio/VO/CH1_Concert_2,4.0
18,CH1_Concert_Memory_3,主角,Protagonist,"那一刻,时间停止了——不是凝固,不是冻结,而是...在流动中,找到了永恒。","In that moment, time stopped—not frozen, not solidified, but... found eternity in flow.",OnConcertMemoryMid2,Monologue,/Game/Audio/VO/CH1_Concert_3,6.0
19,CH1_Concert_Memory_4,主角,Protagonist,"音乐在流动,时间在流动,但那个瞬间,永远留在了心里。","Music was flowing, time was flowing, but that moment stayed in my heart forever.",OnConcertMemoryMid3,Monologue,/Game/Audio/VO/CH1_Concert_4,5.0
20,CH1_Concert_Memory_5,主角,Protagonist,"我终于明白:永恒不是珠宝,不是木乃伊,永恒是这样的瞬间——在流动中,在音乐中,在彼此的眼神中。","I finally understand: Eternity is not jewels, not mummies, eternity is such moments—in flow, in music, in each other's eyes.",OnConcertMemoryEnd,Monologue,/Game/Audio/VO/CH1_Concert_5,8.0
21,CH1_NoteFeather_Get,主角,Protagonist,"音符凝固成了羽毛...轻盈,但真实。这就是真正的永恒。","Notes solidified into a feather... Light, yet real. This is true eternity.",OnGetNoteFeather,Monologue,/Game/Audio/VO/CH1_NoteFeather_Get,5.0
22,CH1_Crow_Observe,主角,Protagonist,"乌鸦...记忆的守护者。它在等待什么?","The crow... guardian of memories. What is it waiting for?",OnObserveCrow,Observation,/Game/Audio/VO/CH1_Crow_Observe,4.0
23,CH1_MummyNote_Read,纸条,Note,"心脏的重量决定永生。将真实的心脏放入胸腔,灵魂将获得自由。","The weight of the heart determines eternal life. Place the true heart in the chest, and the soul shall be free.",OnReadMummyNote,Document,/Game/Audio/VO/CH1_MummyNote,5.0
24,CH1_Mummy_Revive,木乃伊,Mummy,"谢谢你...让我的心脏重新跳动。真正的永生,不在于肉体,而在于心。轻盈的心,流动的心,爱的心。带着这个,去找乌鸦吧。","Thank you... for making my heart beat again. True eternal life is not in the body, but in the heart. A light heart, a flowing heart, a loving heart. Take this, go to the crow.",OnMummyRevive,Speech,/Game/Audio/VO/CH1_Mummy_Revive,10.0
25,CH1_Crow_Satisfied,乌鸦,Crow,"(满足的鸣叫)嘎——","(Satisfied caw) Caw—",OnCrowSatisfied,Sound,/Game/Audio/SFX/Crow_Satisfied,2.0
26,CH1_PastSymbol_Get,主角,Protagonist,"第一个符号...过去的羽毛。记忆是轻盈的,但它们永远不会消失。不是因为被凝固,而是因为被珍藏。珍藏在心里,而不是珠宝里。","The first symbol... the feather of the past. Memories are light, but they never disappear. Not because they're frozen, but because they're cherished. Cherished in the heart, not in jewels.",OnGetPastSymbol,Monologue,/Game/Audio/VO/CH1_PastSymbol_Get,10.0
27,CH1_Ending_1,主角,Protagonist,"时间会流逝,但这些记忆,已被永远铭刻。","Time will pass, but these memories are forever engraved.",OnChapterEnd,Monologue,/Game/Audio/VO/CH1_Ending_1,4.0
28,CH1_Ending_2,主角,Protagonist,"这座展厅教会了我:爱的永恒,在于每一个瞬间的选择。","This hall taught me: Love's eternity lies in the choice of every moment.",OnChapterEnd,Monologue,/Game/Audio/VO/CH1_Ending_2,5.0
29,CH1_Hint_Password_1,系统,System,"墙上的海报似乎隐藏着什么...也许需要仔细观察?","The poster on the wall seems to hide something... Perhaps it needs closer observation?",OnRequestHint_Password_1,Hint,,4.0
30,CH1_Hint_Password_2,系统,System,"日记中提到了一个特殊的日期...7月27日。","The diary mentions a special date... July 27.",OnRequestHint_Password_2,Hint,,3.5
31,CH1_Hint_Password_3,系统,System,"密码是:727","The password is: 727",OnRequestHint_Password_3,Hint,,2.0
32,CH1_Click_Jewel,系统,System,"(清脆的叮声)","(Crisp ding)",OnClickJewel,Sound,/Game/Audio/SFX/Click_Jewel,0.5
33,CH1_Scale_Reject,系统,System,"(低沉的咚声)","(Deep thud)",OnScaleReject,Sound,/Game/Audio/SFX/Scale_Reject,1.0
34,CH1_MusicBox_Open,系统,System,"(咔嚓声)","(Click sound)",OnMusicBoxOpen,Sound,/Game/Audio/SFX/MusicBox_Open,1.5
35,CH1_Sarcophagus_Open,系统,System,"(轰隆声)","(Rumbling sound)",OnSarcophagusOpen,Sound,/Game/Audio/SFX/Sarcophagus_Open,2.0
36,CH1_Heart_Beat,系统,System,"(心跳声)咚咚...咚咚...","(Heartbeat) Thump-thump... Thump-thump...",OnHeartBeat,Sound,/Game/Audio/SFX/Heart_Beat,3.0
37,CH1_Symbol_Appear,系统,System,"(和谐和弦)","(Harmonic chord)",OnSymbolAppear,Sound,/Game/Audio/SFX/Symbol_Appear,2.5
